time,open,high,low,close
1719352500,61895.9,61895.91,61879.52,61884
1719352560,61884,61898.22,61884,61898.22
1719352620,61898.22,61901.63,61898.21,61901.63
1719352680,61901.62,61901.63,61900.99,61901
1719352740,61900.99,61916.53,61900.99,61916.53
1719352800,61916.53,61968.01,61916.53,61966.01
1719352860,61966.01,61968.02,61966.01,61968.02
1719352920,61968.02,61968.02,61952,61952.01
1719352980,61952,62000,61952,62000
1719353040,62000,62047.99,62000,62043.66
1719353100,62043.65,62047.99,62035.58,62035.59
1719353160,62035.59,62040,62035.58,62040
1719353220,62039.99,62070,62039.99,62070
1719353280,62070,62102.94,62070,62102.94
1719353340,62102.94,62102.94,62102.93,62102.94
1719353400,62102.94,62102.94,62094,62094.01
1719353460,62094.01,62096,62093.79,62096
1719353520,62096,62106.22,62095.99,62105.59
1719353580,62105.59,62105.59,62099.79,62099.8
1719353640,62099.79,62099.8,62083.93,62083.94
1719353700,62083.94,62130,62083.93,62120.66
1719353760,62120.66,62130,62106,62130
1719353820,62130,62150,62130,62150
1719353880,62150,62158.85,62148,62148.01
1719353940,62148.01,62148.01,62138.96,62147.99
1719354000,62147.99,62156,62147.98,62156
1719354060,62156,62158,62120.06,62158
1719354120,62158,62162.49,62149.5,62149.51
1719354180,62149.51,62154,62130,62130.01
1719354240,62130,62130,62120,62120.01
1719354300,62120.01,62120.01,62112.22,62113.31
1719354360,62113.31,62127.59,62113.3,62127.59
1719354420,62127.58,62127.59,62127.58,62127.59
1719354480,62127.58,62148,62127.58,62148
1719354540,62147.99,62148,62147.99,62147.99
1719354600,62148,62154.01,62147.99,62150.9
1719354660,62150.9,62150.9,62150.89,62150.9
1719354720,62150.9,62150.9,62141.99,62143.24
1719354780,62143.24,62143.24,62132,62132.01
1719354840,62132.01,62132.01,62124,62124.01
1719354900,62124.01,62138,62124,62138
1719354960,62138,62138,62128,62128.01
1719355020,62128.01,62128.01,62113.75,62113.76
1719355080,62113.76,62113.76,62105.35,62105.36
1719355140,62105.35,62105.36,62071.36,62071.37
1719355200,62071.37,62074,62060,62060.01
1719355260,62060,62060,62004.96,62004.97
1719355320,62004.97,62018,62004.96,62018
1719355380,62018,62018,62001.2,62001.21
1719355440,62001.21,62001.21,61970,61975.21
1719355500,61975.21,61975.21,61967.74,61967.75
1719355560,61967.74,61967.75,61960.42,61960.43
1719355620,61960.43,61960.43,61940,61940.01
1719355680,61940,61940.01,61929.99,61930
1719355740,61930,61930,61920,61920.01
1719355800,61920.01,61938,61915.83,61915.84
1719355860,61915.83,61915.84,61890,61890.01
1719355920,61890.01,61890.01,61884.06,61884.07
1719355980,61884.07,61899.43,61884.06,61899.43
1719356040,61899.43,61902.97,61899.42,61902.97
1719356100,61902.97,61902.97,61880,61880.01
1719356160,61880,61880.01,61866.68,61870.8
1719356220,61870.8,61878,61870.8,61878
1719356280,61878,61909.99,61877.99,61909.99
1719356340,61909.99,61909.99,61909.98,61909.99
1719356400,61909.99,61924.12,61909.98,61910.01
1719356460,61910.01,61911.52,61910,61911.51
1719356520,61911.51,61942.47,61911.5,61942.47
1719356580,61942.46,61946.39,61922.15,61924.01
1719356640,61924.01,61924.01,61924,61924.01
1719356700,61924.01,61924.01,61924,61924.01
1719356760,61924,61927.85,61866.8,61866.81
1719356820,61866.81,61866.81,61836.62,61843.06
1719356880,61843.05,61846,61834.94,61834.95
1719356940,61834.95,61834.95,61710.52,61759.97
1719357000,61759.97,61770,61730,61760.12
1719357060,61760.12,61760.12,61732,61732.01
1719357120,61732.01,61760,61732,61760
1719357180,61759.99,61760,61730,61730.01
1719357240,61730.01,61730.01,61724,61729.89
1719357300,61729.89,61753.99,61729.88,61753.99
1719357360,61753.99,61753.99,61753.98,61753.99
1719357420,61753.99,61753.99,61720.87,61726
1719357480,61726,61727.07,61681.42,61694
1719357540,61694,61700,61684.01,61684.02
1719357600,61684.02,61694.74,61684.01,61694.74
1719357660,61694.73,61694.74,61668.05,61686
1719357720,61686,61710,61664,61710
1719357780,61710,61720,61704,61714.02
1719357840,61714.02,61719.66,61712.02,61719.66
1719357900,61719.65,61729.99,61719.65,61729.99
1719357960,61729.99,61729.99,61721.95,61721.96
1719358020,61721.96,61721.96,61721.95,61721.96
1719358080,61721.96,61721.96,61721.95,61721.96
